Equipment ID,PD Average,PD Count,Temperature,Humidity,Loading
8558,424.19,19,27,56,250
8559,565.25,12,27,56,250
9244,1881.07,6,29.2,71.6,300
9379,774.28,14,26.3,71.5,585
9490,502.98,20,27.2,62.4,700
9500,3202.67,13,32,51.3,850
9501,3032.09,14,32,51.3,850
9499,3709.1,13,32,51.3,850
9747,1011,20,30.1,59.6,15
9749,1060,28,30.1,59.6,5
9756,1100,11,30.1,59.6,5
9759,964,15,30.1,59.6,15
9764,1366.03,28,30.4,67.6,1641
10336,611.56,45,31.5,60.5,227
10520,1144.09,22,30.4,64.3,49
10746,2288.51,2,35,70,236
10748,973.76,5,35,70,236
10747,735.74,7,35,70,236
10749,1160.13,7,35,70,236
10866,442.73,62,31.1,66.4,4
10867,508.23,15,31.1,66.4,4
10929,1710.14,5,31.9,71.9,400
8209,2727.02,16,35.5,44,30
11235,509.04,13,29.8,68.1,10
3682,548.7,22,28.7,73.3,53
5469,920.69,16,25.5,58.5,900
5468,1000.35,42,25.5,58.5,900
12062,525.63,23,25.5,58.5,70
12063,734.7,4,25.5,58.5,70
5467,1087.77,26,25.5,58.5,900
5467,1383.55,35,26.5,56.8,802
5467,1306.77,35,27.5,56.3,802
5467,1367.07,25,26.3,56.1,802
5467,1412.94,41,26.5,56.7,802
5467,1382.45,29,25.5,56.3,802
5467,1506.05,36,25.7,56.2,802
5467,1358.41,43,26.1,56.7,800
5468,1477.67,26,26.5,56.8,802
5468,1604.2,24,27.5,56.3,802
5468,1350.11,24,26.3,56.1,802
5468,1352.06,22,26.5,56.7,802
5468,1392.21,31,25.5,56.3,802
5468,1353.35,26,25.7,56.2,802
5468,1484.88,29,26.1,56.7,800
5941,1867.18,26,32.6,69,25
5940,1439.92,49,32.6,69,25
5939,1606.82,27,32.6,69,25
5946,1587.63,30,32.6,69,25
5945,2026.51,45,32.6,69,25
5944,1493.65,49,32.6,69,75
5943,1707.35,41,32.6,69,75
5942,1609.97,52,32.6,69,25
13924,1289.98,8,28.3,59.7,21
14077,584.8,15,28.6,76.2,15
12683,888.03,20,26.7,79.8,1000
12683,743.24,33,27,79.8,1000
12683,814.07,22,24.8,80.1,1000
12683,761.2,24,24.7,81.6,1000
12683,820.65,25,26.8,81,1000
12683,869.58,17,26.1,81.3,1000
12683,782.61,27,27.8,80.1,1000
12683,822.71,18,25.2,79.6,1000
12683,801.61,25,26.7,80.1,1000
12683,796.79,18,25.2,81,1000
12682,1086.56,21,26.4,81.6,2050
12682,1135.67,23,26.6,81,2050
12682,1179.99,19,26.7,79.8,2050
12682,834.78,18,26.8,81,2050
12682,871.94,18,25.2,79.6,2050
12682,793.52,16,25.2,81,2050
12682,862.27,23,24.6,81.3,2050
12682,855.48,18,30.3,81.6,1873
12680,705.78,19,26.4,81.6,2050
12680,698.91,15,26.6,81,2050
11139,1647.52,15,21.9,57.5,27.17
11139,1582.52,15,22.1,57.6,27.17
11139,1509.78,18,22.1,57.6,27.17
11139,1597.15,12,22.1,57.6,27.17
11139,1585.29,14,22,57.7,27.17
11139,1420.87,12,22.1,57.6,27.17
11139,1755.02,5,22,57.5,27.17
11139,1591.4,13,22,57.6,27.17
9575,1039.51,15,32.3,61,457
748,1051.24,8,31.6,69,420
19421,2843.43,8,29.4,77.5,265
19418,4891.42,10,29.4,77.5,265
19419,4361.75,10,29.4,77.5,265
19420,3534.42,7,29.4,77.5,265
19422,2822.23,14,29.4,77.5,265
17627,2228.11,28,27.3,81.1,230
17628,2005.44,27,27.3,81.1,230
17661,1501.32,20,28,61.2,500
5638,944.09,18,27.8,71.5,20
17784,1701.85,20,35.6,53.9,1500
